transaction_id,user_id,device_id,transaction_amount,currency,payment_mode,merchant_category,transaction_city,transaction_hour,new_device,location_change,failed_attempts_24h,transactions_last_1h,ip_risk_score,vpn_used,international_transaction,fraud_probability,risk_score,risk_level,decision,is_fraud
TXN500024,U101765,D201269,229.44,INR,UPI,Healthcare,Hyderabad,13,No,No,0,10,95.53,No,Yes,12.03,12.03,Low,APPROVE,0
TXN500025,U100292,D200574,949.78,INR,UPI,Education,Ahmedabad,3,No,No,0,7,93.16,No,No,9.39,9.39,Low,APPROVE,0
TXN500026,U101409,D200236,1786.3,INR,UPI,Fuel,Delhi,11,No,No,0,9,1.66,No,No,16.16,16.16,Low,APPROVE,0
TXN500027,U101768,D202410,1786.66,INR,Credit Card,Food,Ahmedabad,1,No,No,1,6,46.34,No,No,15.45,15.45,Low,APPROVE,0
TXN500028,U100828,D200530,825.97,INR,UPI,Food,Pune,13,No,No,0,13,70.35,No,No,18.69,18.69,Low,APPROVE,0
TXN500029,U100233,D202790,2156.06,INR,Wallet,Shopping,Mumbai,23,No,No,0,1,1.78,No,No,22.86,22.86,Low,APPROVE,0
TXN500030,U101319,D202512,1633.12,INR,UPI,Healthcare,Kolkata,23,No,No,0,9,53.86,No,No,20.31,20.31,Low,APPROVE,0
TXN500031,U101726,D201252,2039.07,INR,Credit Card,Gaming,Delhi,17,No,No,0,3,28.9,No,No,7.73,7.73,Low,APPROVE,0
TXN500032,U100536,D201532,3459.01,INR,Credit Card,Gaming,Pune,8,No,No,0,7,54.42,No,No,1.75,1.75,Low,APPROVE,0
TXN500033,U101402,D202429,354.45,INR,Credit Card,Travel,Pune,22,No,No,0,9,62.73,No,No,35.81,35.81,Low,APPROVE,0
TXN500034,U101701,D200126,5290.52,INR,Debit Card,Shopping,Mumbai,23,No,No,1,8,98.94,No,No,12.54,12.54,Low,APPROVE,0
TXN500035,U100804,D200657,4347.43,INR,Credit Card,Education,Nashik,7,Yes,No,0,12,15.51,No,No,32.74,32.74,Low,APPROVE,0
TXN500036,U101233,D201864,4155.79,INR,Credit Card,Food,Nashik,6,No,No,1,12,21.94,No,No,14.95,14.95,Low,APPROVE,0
TXN500037,U100538,D201137,2071.93,INR,UPI,Shopping,Hyderabad,12,No,No,1,10,49.28,No,No,17.6,17.6,Low,APPROVE,0
TXN500038,U100851,D202290,2026.75,INR,UPI,Grocery,Chennai,1,No,No,1,7,26.85,No,No,13.54,13.54,Low,APPROVE,0
TXN500039,U100177,D201168,2195.73,INR,UPI,Education,Kolkata,1,No,No,0,7,53.9,No,No,14.17,14.17,Low,APPROVE,0
TXN500040,U101953,D202600,2702.48,INR,UPI,Grocery,Delhi,15,No,Yes,0,1,91.45,No,No,17.69,17.69,Low,APPROVE,0
TXN500041,U100555,D201696,5741.52,INR,Wallet,Gaming,Nashik,15,No,No,0,5,96.24,No,No,2.0,2.0,Low,APPROVE,0
TXN500042,U101095,D202486,5527.38,INR,Credit Card,Healthcare,Chennai,23,No,No,1,6,27.93,No,No,0.37,0.37,Low,APPROVE,0
TXN500043,U101923,D202455,1859.1,INR,UPI,Utilities,Delhi,17,No,Yes,1,2,80.12,No,No,15.82,15.82,Low,APPROVE,0
TXN500044,U101531,D202636,4639.82,INR,UPI,Grocery,Ahmedabad,1,No,No,0,3,96.87,No,No,15.44,15.44,Low,APPROVE,0
TXN500045,U101245,D202843,4175.4,INR,Debit Card,Travel,Bengaluru,6,No,No,0,8,35.04,Yes,No,13.06,13.06,Low,APPROVE,0
TXN500046,U100947,D201730,5173.97,INR,Credit Card,Travel,Pune,6,Yes,No,0,1,84.89,Yes,No,18.51,18.51,Low,APPROVE,0
TXN500047,U100822,D201188,1668.44,INR,UPI,Travel,Pune,16,No,No,0,7,27.58,No,No,1.06,1.06,Low,APPROVE,0
TXN500048,U100227,D202689,9627.51,INR,UPI,Travel,Nashik,22,No,No,0,10,31.92,No,No,18.26,18.26,Low,APPROVE,0
TXN500049,U101864,D202611,5840.03,INR,UPI,Shopping,Pune,11,No,No,0,14,73.79,No,No,7.31,7.31,Low,APPROVE,0
TXN500050,U101256,D201198,796.59,INR,Credit Card,Utilities,Nagpur,12,No,Yes,0,2,63.1,No,No,17.69,17.69,Low,APPROVE,0
TXN500051,U101291,D202858,1077.81,INR,Credit Card,Healthcare,Bengaluru,4,No,No,0,1,62.63,No,No,10.48,10.48,Low,APPROVE,0
TXN500052,U101933,D201380,12330.95,INR,Net Banking,Education,Chennai,14,No,No,1,9,39.15,No,No,16.58,16.58,Low,APPROVE,0
TXN500053,U100253,D202417,356.34,INR,Debit Card,Utilities,Bengaluru,20,No,No,2,13,67.33,No,No,12.94,12.94,Low,APPROVE,0
TXN500054,U100674,D201575,2433.31,INR,Debit Card,Gaming,Bengaluru,1,No,No,0,7,58.76,No,No,18.01,18.01,Low,APPROVE,0
TXN500055,U100005,D202954,22674.68,INR,Credit Card,Education,Nashik,5,No,No,0,12,6.47,No,No,17.48,17.48,Low,APPROVE,0
TXN500056,U100046,D201165,7725.26,INR,UPI,Fuel,Ahmedabad,3,No,No,0,3,75.02,No,No,15.92,15.92,Low,APPROVE,0
TXN500057,U101430,D200769,7339.17,INR,UPI,Grocery,Chennai,22,No,No,0,9,40.18,No,No,15.21,15.21,Low,APPROVE,0
TXN500058,U100882,D201190,715.07,INR,UPI,Shopping,Mumbai,12,No,No,0,9,59.19,No,No,17.35,17.35,Low,APPROVE,0
TXN500059,U100579,D201342,5762.71,INR,UPI,Food,Nashik,1,No,No,1,12,22.37,No,No,28.14,28.14,Low,APPROVE,0
TXN500060,U100253,D201654,12512.23,INR,UPI,Utilities,Hyderabad,23,No,Yes,1,9,73.66,No,No,24.15,24.15,Low,APPROVE,0
TXN500061,U101472,D200657,1805.87,INR,UPI,Food,Delhi,4,No,No,0,4,80.26,No,No,17.4,17.4,Low,APPROVE,0
TXN500062,U100058,D201885,2508.06,INR,Net Banking,Fuel,Mumbai,7,No,No,0,8,85.18,No,No,12.39,12.39,Low,APPROVE,0
TXN500063,U101416,D200988,7238.32,INR,Credit Card,Travel,Chennai,15,No,No,0,4,52.45,No,No,0.1,0.1,Low,APPROVE,0
TXN500064,U101654,D201077,1993.21,INR,Credit Card,Fuel,Hyderabad,6,No,No,1,4,95.03,No,No,0.1,0.1,Low,APPROVE,0
TXN500065,U101721,D200121,509.36,INR,UPI,Education,Bengaluru,2,No,No,0,9,76.94,No,No,28.8,28.8,Low,APPROVE,0
TXN500066,U100559,D202214,142.75,INR,UPI,Education,Ahmedabad,8,Yes,No,0,13,43.61,No,No,32.26,32.26,Low,APPROVE,0
TXN500067,U101014,D202991,3482.09,INR,UPI,Food,Kolkata,12,No,No,0,8,82.0,No,No,10.58,10.58,Low,APPROVE,0
TXN500068,U101214,D200833,1472.87,INR,Debit Card,Entertainment,Nashik,1,No,No,1,6,26.14,No,No,20.55,20.55,Low,APPROVE,0
TXN500069,U100264,D201678,139.16,INR,UPI,Food,Ahmedabad,18,No,No,0,6,26.11,No,No,0.1,0.1,Low,APPROVE,0
TXN500070,U101707,D202069,1081.24,INR,Credit Card,Entertainment,Nashik,10,No,No,0,14,32.28,No,No,14.38,14.38,Low,APPROVE,0
TXN500071,U101581,D201299,1661.73,INR,Credit Card,Utilities,Kolkata,9,Yes,No,0,5,24.71,No,No,22.14,22.14,Low,APPROVE,0
TXN500072,U101166,D201884,1503.02,INR,UPI,Shopping,Chennai,10,No,No,0,9,36.5,Yes,No,14.42,14.42,Low,APPROVE,0
TXN500073,U100245,D201962,8189.08,INR,UPI,Gaming,Ahmedabad,16,No,No,0,12,60.93,Yes,No,14.41,14.41,Low,APPROVE,0
TXN500074,U101239,D200407,4989.94,INR,UPI,Travel,Hyderabad,16,No,Yes,1,12,28.18,No,No,25.44,25.44,Low,APPROVE,0
TXN500075,U100436,D200481,2146.58,INR,UPI,Education,Mumbai,2,Yes,No,1,6,71.75,No,No,32.54,32.54,Low,APPROVE,0
TXN500076,U100687,D202346,656.07,INR,Wallet,Fuel,Nashik,11,No,No,1,5,60.87,No,No,4.37,4.37,Low,APPROVE,0
TXN500077,U101863,D202324,5247.54,INR,Credit Card,Entertainment,Hyderabad,2,No,No,0,10,70.01,No,No,22.25,22.25,Low,APPROVE,0
TXN500078,U100475,D202863,11697.95,INR,Debit Card,Shopping,Hyderabad,4,No,No,0,14,47.12,No,No,27.58,27.58,Low,APPROVE,0
TXN500079,U101407,D202369,15403.54,INR,UPI,Grocery,Kolkata,5,No,No,1,7,92.74,No,No,4.38,4.38,Low,APPROVE,0
TXN500080,U100937,D202162,1876.66,INR,UPI,Entertainment,Mumbai,19,No,No,0,11,36.33,No,No,11.51,11.51,Low,APPROVE,0
TXN500081,U100877,D202319,4655.1,INR,Net Banking,Shopping,Ahmedabad,9,No,No,0,12,66.13,No,No,18.79,18.79,Low,APPROVE,0
TXN500082,U100656,D201459,1269.4,INR,Debit Card,Education,Kolkata,10,No,No,0,9,53.79,No,No,10.72,10.72,Low,APPROVE,0
TXN500083,U100546,D201892,1051.35,INR,UPI,Gaming,Hyderabad,22,Yes,No,0,5,92.77,No,No,22.1,22.1,Low,APPROVE,0
TXN500084,U100414,D202311,5340.56,INR,UPI,Utilities,Nagpur,18,No,No,0,10,48.5,No,No,15.77,15.77,Low,APPROVE,0
TXN500085,U101155,D202297,671.92,INR,Credit Card,Entertainment,Mumbai,19,No,No,0,11,98.83,No,No,17.65,17.65,Low,APPROVE,0
TXN500086,U101839,D201485,1502.95,INR,UPI,Shopping,Kolkata,10,No,No,1,9,29.43,No,No,17.34,17.34,Low,APPROVE,0
TXN500087,U100397,D202925,8345.77,INR,UPI,Food,Kolkata,20,No,No,0,10,85.14,Yes,No,11.65,11.65,Low,APPROVE,0
TXN500088,U101530,D202486,1477.42,INR,Wallet,Entertainment,Bengaluru,7,No,No,0,8,98.65,No,No,14.88,14.88,Low,APPROVE,0
TXN500089,U101176,D201489,844.98,INR,UPI,Fuel,Nashik,8,No,No,1,12,15.55,No,No,17.24,17.24,Low,APPROVE,0
TXN500090,U101837,D201081,20279.27,INR,UPI,Food,Chennai,2,Yes,No,0,14,36.6,No,No,44.34,44.34,Medium,HOLD,0
TXN500091,U101583,D202052,4521.34,INR,Net Banking,Travel,Nagpur,0,No,No,0,1,70.92,No,No,16.73,16.73,Low,APPROVE,0
TXN500092,U100167,D201900,447.14,INR,UPI,Utilities,Chennai,1,No,No,0,13,89.67,No,No,26.67,26.67,Low,APPROVE,0
TXN500093,U101713,D201821,3555.97,INR,Wallet,Food,Delhi,1,No,No,0,1,74.86,No,No,17.25,17.25,Low,APPROVE,0
TXN500094,U101798,D202910,2202.48,INR,UPI,Shopping,Mumbai,2,No,Yes,0,8,11.79,No,No,43.06,43.06,Medium,HOLD,0
TXN500095,U101630,D200264,5859.19,INR,UPI,Shopping,Bengaluru,17,No,No,2,1,55.58,No,No,2.1,2.1,Low,APPROVE,0
TXN500096,U101851,D201272,4237.3,INR,Wallet,Shopping,Bengaluru,16,No,No,1,10,35.99,No,No,14.43,14.43,Low,APPROVE,0
TXN500097,U100802,D202142,2386.84,INR,UPI,Grocery,Nagpur,11,Yes,No,1,6,11.2,Yes,No,26.97,26.97,Low,APPROVE,0
TXN500098,U100229,D201886,3300.28,INR,UPI,Gaming,Nashik,5,No,No,0,10,67.13,No,No,14.25,14.25,Low,APPROVE,0
TXN500099,U100702,D201832,3491.45,INR,UPI,Entertainment,Delhi,6,No,No,1,12,39.33,Yes,No,12.91,12.91,Low,APPROVE,0
TXN500100,U101427,D202866,3807.08,INR,Credit Card,Fuel,Ahmedabad,16,No,No,0,14,1.03,No,No,11.4,11.4,Low,APPROVE,0
TXN500101,U100143,D200696,1684.67,INR,Credit Card,Food,Delhi,8,No,No,0,5,16.87,No,No,0.1,0.1,Low,APPROVE,0
TXN500102,U101941,D201480,550.94,INR,UPI,Gaming,Bengaluru,22,No,No,0,5,90.3,Yes,No,8.14,8.14,Low,APPROVE,0
TXN500103,U101699,D200740,1981.2,INR,UPI,Fuel,Mumbai,11,Yes,Yes,0,13,84.0,No,No,42.44,42.44,Medium,HOLD,0
TXN500104,U101554,D202364,1547.98,INR,Credit Card,Entertainment,Nashik,13,Yes,No,1,11,93.79,No,No,30.88,30.88,Low,APPROVE,0
TXN500105,U101921,D200773,2346.65,INR,UPI,Entertainment,Mumbai,10,Yes,No,0,14,47.52,No,No,24.48,24.48,Low,APPROVE,0
TXN500106,U100067,D200118,7961.79,INR,UPI,Fuel,Chennai,3,No,No,0,5,69.11,No,No,18.53,18.53,Low,APPROVE,0
TXN500107,U101017,D201769,11522.91,INR,Credit Card,Shopping,Chennai,18,No,No,1,9,55.72,Yes,No,18.64,18.64,Low,APPROVE,0
TXN500108,U100097,D202841,5316.93,INR,Debit Card,Healthcare,Pune,5,No,No,0,9,54.35,No,Yes,19.6,19.6,Low,APPROVE,0
TXN500109,U100006,D202249,5866.69,INR,Credit Card,Entertainment,Nagpur,18,No,No,0,9,28.47,No,No,14.93,14.93,Low,APPROVE,0
TXN500110,U100814,D202364,2269.41,INR,UPI,Travel,Bengaluru,15,No,No,0,3,86.0,No,No,4.68,4.68,Low,APPROVE,0
TXN500111,U100176,D201267,1666.74,INR,UPI,Utilities,Pune,15,No,No,2,6,20.11,No,No,0.1,0.1,Low,APPROVE,0
TXN500112,U101229,D201117,5414.0,INR,Debit Card,Entertainment,Nagpur,3,Yes,No,0,9,64.48,No,No,45.73,45.73,Medium,HOLD,0
TXN500113,U100298,D200812,6942.67,INR,UPI,Travel,Mumbai,4,No,No,1,2,93.9,No,No,16.47,16.47,Low,APPROVE,0
TXN500114,U101823,D200037,6846.09,INR,Credit Card,Healthcare,Bengaluru,9,No,No,0,8,69.63,No,No,13.02,13.02,Low,APPROVE,0
TXN500115,U101936,D202460,2153.85,INR,UPI,Education,Nagpur,4,No,No,1,11,62.75,No,No,27.29,27.29,Low,APPROVE,0
TXN500116,U100228,D200242,2728.66,INR,UPI,Food,Hyderabad,8,No,No,0,7,33.25,No,No,0.1,0.1,Low,APPROVE,0
TXN500117,U100895,D201387,19127.08,INR,UPI,Food,Ahmedabad,17,No,No,0,10,46.81,No,No,18.3,18.3,Low,APPROVE,0
TXN500118,U100630,D201998,195.65,INR,Net Banking,Healthcare,Pune,22,No,No,1,11,7.01,No,No,10.42,10.42,Low,APPROVE,0
TXN500119,U100269,D200854,6999.95,INR,UPI,Education,Nagpur,22,No,No,0,1,5.02,No,No,0.1,0.1,Low,APPROVE,0
TXN500120,U100080,D202248,1748.61,INR,UPI,Entertainment,Pune,5,No,No,0,12,1.38,No,No,10.0,10.0,Low,APPROVE,0
TXN500121,U101695,D202354,1749.05,INR,Wallet,Grocery,Pune,13,No,No,1,5,37.8,No,No,6.33,6.33,Low,APPROVE,0
TXN500122,U101211,D201797,1852.49,INR,UPI,Education,Chennai,19,Yes,No,0,5,1.64,No,No,15.49,15.49,Low,APPROVE,0
TXN500123,U101723,D200174,357.83,INR,UPI,Grocery,Pune,22,No,No,0,6,69.99,No,No,6.5,6.5,Low,APPROVE,0
TXN500124,U100819,D201712,2005.59,INR,UPI,Healthcare,Delhi,15,Yes,No,0,5,75.39,No,No,18.35,18.35,Low,APPROVE,0
TXN500125,U100500,D202644,9579.43,INR,Credit Card,Healthcare,Pune,2,No,Yes,0,6,53.95,No,No,30.07,30.07,Low,APPROVE,0
TXN500126,U100705,D200671,1836.35,INR,Debit Card,Grocery,Hyderabad,0,No,No,0,13,37.98,No,No,24.96,24.96,Low,APPROVE,0
TXN500127,U101510,D200693,2121.97,INR,Debit Card,Grocery,Pune,5,No,No,0,2,2.56,No,No,0.1,0.1,Low,APPROVE,0
TXN500128,U101795,D200547,981.75,INR,UPI,Grocery,Delhi,0,No,No,0,13,85.22,No,No,15.33,15.33,Low,APPROVE,0
TXN500129,U101511,D201880,2557.8,INR,Credit Card,Entertainment,Nashik,5,No,No,0,5,74.94,No,No,0.1,0.1,Low,APPROVE,0
TXN500130,U100989,D201122,170.22,INR,Net Banking,Entertainment,Ahmedabad,20,No,No,0,4,23.44,No,No,0.1,0.1,Low,APPROVE,0
TXN500131,U101501,D202596,1087.01,INR,UPI,Shopping,Pune,4,No,No,1,10,46.24,No,No,31.22,31.22,Low,APPROVE,0
TXN500132,U100702,D200272,3753.23,INR,UPI,Utilities,Hyderabad,11,No,No,2,5,97.81,No,No,0.77,0.77,Low,APPROVE,0
TXN500133,U101312,D200783,620.8,INR,Wallet,Fuel,Bengaluru,5,No,No,1,11,69.85,No,No,7.41,7.41,Low,APPROVE,0
TXN500134,U100105,D201209,681.47,INR,Credit Card,Shopping,Nashik,7,No,No,0,8,29.5,No,No,9.18,9.18,Low,APPROVE,0
TXN500135,U100640,D200939,1531.3,INR,UPI,Gaming,Hyderabad,18,No,No,0,6,32.75,Yes,No,2.11,2.11,Low,APPROVE,0
TXN500136,U100608,D200451,4215.6,INR,UPI,Travel,Delhi,4,No,No,0,2,93.16,No,No,11.75,11.75,Low,APPROVE,0
TXN500137,U100995,D202608,7229.07,INR,Credit Card,Utilities,Bengaluru,14,No,No,0,6,46.6,No,No,2.64,2.64,Low,APPROVE,0
TXN500138,U101008,D201528,2503.15,INR,UPI,Utilities,Mumbai,13,No,Yes,0,11,23.7,No,No,21.75,21.75,Low,APPROVE,0
TXN500139,U101599,D200093,1798.46,INR,Credit Card,Fuel,Nashik,15,No,No,1,2,55.15,No,No,0.95,0.95,Low,APPROVE,0
TXN500140,U101663,D201330,3826.09,INR,Debit Card,Utilities,Hyderabad,5,No,No,0,5,73.15,No,No,0.18,0.18,Low,APPROVE,0
TXN500141,U101246,D201761,1977.52,INR,Debit Card,Gaming,Nagpur,16,No,No,0,14,50.11,No,No,16.84,16.84,Low,APPROVE,0
TXN500142,U101828,D202564,5408.0,INR,Net Banking,Healthcare,Delhi,16,No,No,0,9,29.3,No,No,13.99,13.99,Low,APPROVE,0
TXN500143,U101997,D201888,11890.32,INR,Net Banking,Education,Ahmedabad,15,No,No,0,10,64.05,No,No,20.07,20.07,Low,APPROVE,0
TXN500144,U100381,D200953,2118.45,INR,Debit Card,Shopping,Bengaluru,0,No,No,1,8,70.72,No,No,26.61,26.61,Low,APPROVE,0
TXN500145,U100837,D202221,755.76,INR,UPI,Utilities,Mumbai,17,No,No,1,6,57.95,No,No,5.23,5.23,Low,APPROVE,0
TXN500146,U101926,D202742,2351.78,INR,UPI,Entertainment,Ahmedabad,3,No,No,2,14,26.09,No,No,30.26,30.26,Low,APPROVE,0
TXN500147,U100103,D201096,20730.02,INR,UPI,Travel,Delhi,21,No,No,0,5,6.4,No,No,5.08,5.08,Low,APPROVE,0
TXN500148,U100663,D201168,3486.73,INR,UPI,Entertainment,Pune,2,No,No,0,2,22.39,No,No,12.6,12.6,Low,APPROVE,0
TXN500149,U101137,D200907,891.47,INR,UPI,Education,Hyderabad,2,No,No,0,10,39.66,No,No,23.48,23.48,Low,APPROVE,0
TXN500150,U101531,D201687,2596.03,INR,Credit Card,Entertainment,Ahmedabad,12,No,No,0,3,73.03,No,No,5.81,5.81,Low,APPROVE,0
TXN500151,U101987,D202103,2315.84,INR,UPI,Travel,Mumbai,19,No,No,0,11,92.79,No,No,14.46,14.46,Low,APPROVE,0
TXN500152,U101078,D202742,1044.64,INR,Credit Card,Utilities,Bengaluru,3,No,Yes,0,8,68.3,No,No,43.66,43.66,Medium,HOLD,0
TXN500153,U100120,D200633,9399.87,INR,Credit Card,Travel,Mumbai,10,No,No,0,14,1.6,No,No,8.6,8.6,Low,APPROVE,0
TXN500154,U101240,D202291,4782.82,INR,Debit Card,Food,Delhi,20,No,No,1,14,62.77,No,No,10.43,10.43,Low,APPROVE,0
TXN500155,U101658,D202941,8447.36,INR,UPI,Fuel,Chennai,4,No,No,0,4,10.4,No,No,11.25,11.25,Low,APPROVE,0
TXN500156,U101026,D200203,97.25,INR,Credit Card,Grocery,Chennai,1,No,No,0,11,80.65,No,No,25.95,25.95,Low,APPROVE,0
TXN500157,U101115,D200015,3354.6,INR,UPI,Grocery,Delhi,5,No,No,0,14,32.38,No,No,20.67,20.67,Low,APPROVE,0
TXN500158,U100406,D200125,2714.01,INR,Debit Card,Shopping,Chennai,4,No,No,0,2,26.95,No,No,23.0,23.0,Low,APPROVE,0
TXN500159,U100675,D202646,890.6,INR,UPI,Gaming,Bengaluru,0,No,No,2,1,50.56,No,No,8.29,8.29,Low,APPROVE,0
TXN500160,U100440,D202513,3958.86,INR,Debit Card,Fuel,Ahmedabad,22,No,Yes,0,8,49.51,No,No,29.88,29.88,Low,APPROVE,0
TXN500161,U101654,D202837,907.7,INR,Credit Card,Utilities,Nashik,22,No,No,1,11,18.45,No,No,20.3,20.3,Low,APPROVE,0
TXN500162,U100431,D201901,462.82,INR,Credit Card,Entertainment,Mumbai,10,No,No,0,3,88.13,No,No,4.34,4.34,Low,APPROVE,0
TXN500163,U100908,D201578,5359.97,INR,UPI,Healthcare,Nagpur,5,No,No,1,9,95.72,No,No,11.49,11.49,Low,APPROVE,0
TXN500164,U100060,D200078,2124.56,INR,Net Banking,Food,Bengaluru,16,No,No,1,12,21.15,No,No,14.99,14.99,Low,APPROVE,0
TXN500165,U100725,D200788,447.71,INR,Debit Card,Utilities,Hyderabad,10,Yes,No,0,8,27.5,No,No,33.0,33.0,Low,APPROVE,0
TXN500166,U101496,D201402,11299.5,INR,UPI,Entertainment,Mumbai,6,No,No,0,12,6.23,No,No,14.49,14.49,Low,APPROVE,0
TXN500167,U101270,D202311,2663.18,INR,UPI,Gaming,Kolkata,15,No,No,1,14,43.27,Yes,No,16.79,16.79,Low,APPROVE,0
TXN500168,U101770,D202352,1074.67,INR,UPI,Education,Mumbai,19,Yes,No,0,8,35.4,No,No,30.05,30.05,Low,APPROVE,0
TXN500169,U101943,D201511,450.45,INR,Debit Card,Gaming,Nagpur,4,No,No,0,6,30.32,No,No,14.07,14.07,Low,APPROVE,0
TXN500170,U100938,D202787,784.29,INR,Credit Card,Grocery,Ahmedabad,6,No,No,0,13,91.55,No,No,13.27,13.27,Low,APPROVE,0
TXN500171,U100868,D200124,449.6,INR,Credit Card,Education,Bengaluru,2,No,No,0,3,31.7,No,No,15.89,15.89,Low,APPROVE,0
TXN500172,U101395,D200617,15102.58,INR,UPI,Education,Chennai,1,No,No,0,7,37.18,No,Yes,19.25,19.25,Low,APPROVE,0
TXN500173,U101312,D200741,20411.63,INR,UPI,Education,Ahmedabad,0,No,No,0,12,41.52,No,No,24.42,24.42,Low,APPROVE,0
TXN500174,U101613,D200080,9060.55,INR,Credit Card,Shopping,Chennai,7,No,No,0,13,34.31,No,No,20.7,20.7,Low,APPROVE,0
TXN500175,U101047,D202919,437.5,INR,UPI,Shopping,Nagpur,23,No,No,0,4,66.34,No,No,8.67,8.67,Low,APPROVE,0
TXN500176,U100405,D201644,4411.51,INR,Debit Card,Travel,Delhi,6,Yes,No,0,1,93.41,Yes,No,18.24,18.24,Low,APPROVE,0
TXN500177,U101331,D200174,28976.52,INR,UPI,Shopping,Nashik,9,No,No,0,2,6.72,No,No,1.25,1.25,Low,APPROVE,0
TXN500178,U100612,D200675,1076.25,INR,Net Banking,Gaming,Hyderabad,13,No,No,0,1,7.3,No,No,0.31,0.31,Low,APPROVE,0
TXN500179,U101395,D200347,2273.14,INR,Debit Card,Fuel,Chennai,8,No,No,1,1,99.94,No,No,0.1,0.1,Low,APPROVE,0
TXN500180,U101786,D201912,16469.58,INR,Debit Card,Education,Nashik,10,No,No,0,1,77.4,No,No,0.68,0.68,Low,APPROVE,0
TXN500181,U101658,D201390,3604.06,INR,Wallet,Utilities,Mumbai,0,No,Yes,0,9,37.88,No,No,39.1,39.1,Low,APPROVE,0
TXN500182,U100214,D201558,5041.68,INR,Wallet,Education,Hyderabad,18,No,Yes,0,10,52.36,Yes,No,27.37,27.37,Low,APPROVE,0
